               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.031073,             0.03608,           0.0064558,             0.58444,             0.61961,               0.616,             0.33402,            0.026188,             0.03047,           0.0058823,            0.007525,            0.007525,            0.007525
                  52,             0.03194,            0.034361,           0.0057056,              0.5953,             0.62714,             0.63106,             0.38158,            0.025682,            0.030316,            0.005578,           0.0074755,           0.0074755,           0.0074755
                  53,            0.031894,            0.035564,           0.0061415,             0.61447,             0.67862,             0.66776,             0.42216,            0.025863,            0.029596,           0.0055457,            0.007426,            0.007426,            0.007426
                  54,            0.031691,            0.035551,           0.0060759,             0.61313,             0.62465,              0.6528,             0.39992,            0.024976,            0.029772,            0.005282,           0.0073765,           0.0073765,           0.0073765
                  55,            0.030681,            0.035843,           0.0057912,             0.71553,             0.60561,             0.67853,              0.4014,             0.02544,            0.030378,            0.005473,            0.007327,            0.007327,            0.007327
                  56,            0.030993,            0.034113,            0.005652,             0.58539,             0.67169,             0.67501,             0.40795,            0.025422,              0.0305,           0.0054226,           0.0072775,           0.0072775,           0.0072775
                  57,            0.031123,            0.035246,           0.0058337,             0.62732,             0.67814,             0.66233,             0.39791,            0.026703,            0.030224,           0.0055465,            0.007228,            0.007228,            0.007228
                  58,            0.030845,             0.03521,           0.0059939,             0.62514,              0.7208,             0.66324,             0.38361,            0.026039,            0.030326,           0.0054527,           0.0071785,           0.0071785,           0.0071785
                  59,            0.029754,            0.033996,           0.0059855,             0.81127,             0.61693,             0.68438,             0.39949,            0.025568,            0.029897,           0.0050436,            0.007129,            0.007129,            0.007129
                  60,             0.03025,            0.034693,           0.0054884,             0.65001,             0.65948,             0.66349,             0.39693,            0.025564,            0.030413,           0.0053037,           0.0070795,           0.0070795,           0.0070795
                  61,            0.029549,            0.034075,             0.00554,             0.79983,             0.62229,             0.71658,             0.41749,            0.025642,            0.029682,           0.0050153,             0.00703,             0.00703,             0.00703
                  62,            0.030522,              0.0344,              0.0063,             0.63462,             0.66544,             0.66949,             0.41149,            0.024953,            0.029734,           0.0052516,           0.0069805,           0.0069805,           0.0069805
                  63,             0.02976,            0.034982,           0.0054277,              0.7329,             0.67913,             0.70814,             0.42282,            0.025466,            0.029585,           0.0042627,            0.006931,            0.006931,            0.006931
                  64,            0.029841,            0.032952,           0.0056192,             0.73886,             0.62466,             0.67064,             0.41689,            0.025563,            0.030393,            0.005162,           0.0068815,           0.0068815,           0.0068815
                  65,            0.029769,            0.034123,           0.0059799,             0.71684,              0.6321,             0.67021,             0.40509,            0.026215,            0.029915,           0.0048652,            0.006832,            0.006832,            0.006832
                  66,            0.030592,            0.035094,           0.0051563,             0.63032,              0.6708,             0.68616,             0.42709,            0.025064,            0.029556,           0.0052376,           0.0067825,           0.0067825,           0.0067825
